Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,7.14706072102445E-16,-1.13450915328883E-15,0.133292991245626,0,0,0,1.16420090238786,0.0164887637751647,-1.90289701316722E-18,-2.67526886060798E-17,0.00758057045639267,-3.44375803085017E-18,0.00955960807272672,0,0,0,0,0,0,package://REV URDF 16/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://REV URDF 16/meshes/base_link.STL,,Plate-1;Plate-2,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_upper_arm_link,8.67361737988404E-16,0.100934490455834,0.0100942927174472,0,0,0,0.089245113557281,0.00046676622139141,3.12800290565977E-19,3.92122715502237E-19,0.000121199593509576,4.51709155144065E-05,0.000529188237291866,0,0,0,0,0,0,package://REV URDF 16/meshes/right_upper_arm_link.STL,1,0,0.501960784313725,1,0,0,0,0,0,0,package://REV URDF 16/meshes/right_upper_arm_link.STL,,Upper Control Arms (1)-3,upper_arm_right_base,UpperArmRightBase,right_upper_suspension_joint,continuous,0,0.113029999999999,0.200078600000003,0,0,0,base_link,1,0,0,,,,,,,,,,,,
right_elbow_link,2.84494650060196E-16,0.0305089500241993,-0.0605771133875825,0,0,0,0.276177502867985,0.00138370097439145,4.10713697130028E-18,1.39962720089084E-18,0.00118184162619849,1.67240900157391E-05,0.000604637115743068,0,0,0,0,0,0,package://REV URDF 16/meshes/right_elbow_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://REV URDF 16/meshes/right_elbow_link.STL,,SteerDriveURDFSimplified-2/Motor_steering_bracket_v8-1,upper_arm_right_end,UpperArmRightEnd,right_elbow_joint,continuous,0,0.228276451582478,-0.0121581928309283,0,0,0,right_upper_arm_link,1,0,0,,,,,,,,,,,,
right_steer_link,4.00224786206993E-05,0.0556417903494036,-0.0380442173780658,0,0,0,0.491364303359803,0.00176190750011995,-2.3086902910516E-08,5.99035056930559E-07,0.0021935871105742,0.000325354991125423,0.00127549915007256,0,0,0,0,0,0,package://REV URDF 16/meshes/right_steer_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://REV URDF 16/meshes/right_steer_link.STL,,SteerDriveURDFSimplified-2/right boxing sheetmetal-2;SteerDriveURDFSimplified-2/Encoder_steering_bracket_V10-1;SteerDriveURDFSimplified-2/center boxing sheetmetal_v5-2;SteerDriveURDFSimplified-2/left boxing sheetmetal (1)-1;SteerDriveURDFSimplified-2/Part9_modified_2motor_v11-5-1;SteerDriveURDFSimplified-2/Motor_encasing_v6-2;SteerDriveURDFSimplified-2/Top_motor_drive_box_v3-1,steering_right,SteeringRight,right_steer_joint,continuous,0,0.0763523999115025,-0.142620994996874,0,0,0,right_elbow_link,0,0,-1,,,,,,,,,,,,
right_drive_link,-4.64947787340297E-07,-0.0485815654607988,-4.94993169632418E-05,0,0,0,0.387386297168039,0.000796364048811902,-1.99673396528676E-18,-3.87517573368842E-20,0.000989327464865147,-1.94405743453837E-19,0.000796364048811916,0,0,0,0,0,0,package://REV URDF 16/meshes/right_drive_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://REV URDF 16/meshes/right_drive_link.STL,,SteerDriveURDFSimplified-2/wheel_assembly_v5-1/fixfromastep_v4-1;SteerDriveURDFSimplified-2/REV-21-2823 (2).step-1;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/rim_edge_v5-1;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-32;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-31;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-30;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-29;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-28;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-27;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-26;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-25;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-24;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-23;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-22;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-21;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-1;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-2;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-3;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-4;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-5;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-6;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-10;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-11;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-12;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-13;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-14;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-15;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-16;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-17;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-18;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-19;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-20;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-7;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-8;SteerDriveURDFSimplified-2/wheel_assembly_v5-1/grouser_bent_v5-9,drive_right,DriveRight,right_drive_joint,continuous,0,0.1732788005332,-0.0550671980221146,0,0,0,right_steer_link,0,-1,0,,,,,,,,,,,,
right_lower_arm_link,5.82867087928207E-16,0.0916466964707608,-0.00210508223009852,0,0,0,0.0901506877798632,0.000709947389465217,-1.8090258729004E-19,1.29265966493677E-19,8.29725439825146E-05,-1.14668119266734E-05,0.000732993154194516,0,0,0,0,0,0,package://REV URDF 16/meshes/right_lower_arm_link.STL,0.341176470588235,0.83921568627451,0.411764705882353,1,0,0,0,0,0,0,package://REV URDF 16/meshes/right_lower_arm_link.STL,,Lower Control Arms 2-3,lower_arm_right_base,LowerArmRightBase,right_lower_suspension_joint,continuous,0,0.0685799999999988,0.111178600000003,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
left_upper_arm_link,1.19348975147204E-15,-0.09566388473219,0.0337355490097695,0,0,0,0.089245113557281,0.000466766221391411,7.2798747442127E-19,5.82302453068405E-19,0.000123323201524777,5.38730902348708E-05,0.000527064629276666,0,0,0,0,0,0,package://REV URDF 16/meshes/left_upper_arm_link.STL,1,0,0.501960784313725,1,0,0,0,0,0,0,package://REV URDF 16/meshes/left_upper_arm_link.STL,,Upper Control Arms (1)-4,upper_arm_left_base,UpperArmLeftBase,left_upper_suspension_joint,continuous,0,-0.113030000000001,0.200078600000003,0,0,0,base_link,1,0,0,,,,,,,,,,,,
left_elbow_link,1.38777878078145E-16,-0.0305089494916406,-0.0605771233835763,0,0,0,0.276177502867984,0.00138370097439145,1.62464807955631E-18,-6.28782801486317E-18,0.00118184162619849,-1.67240900157383E-05,0.000604637115743068,0,0,0,0,0,0,package://REV URDF 16/meshes/left_elbow_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://REV URDF 16/meshes/left_elbow_link.STL,,SteerDriveURDFSimplified-3/Motor_steering_bracket_v8-1,upper_arm_left_end,UpperArmLeftEnd,left_elbow_joint,continuous,0,-0.224651005898425,0.0423070389985593,0,0,0,left_upper_arm_link,1,0,0,,,,,,,,,,,,
left_steer_link,-3.78479948679109E-05,-0.050860797138137,-0.0340889001493224,0,0,0,0.405984022646422,0.00172438585657842,-2.30866912290617E-08,-6.62312988707159E-07,0.00196766144893258,-0.000325354993938091,0.00102637403801297,0,0,0,0,0,0,package://REV URDF 16/meshes/left_steer_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://REV URDF 16/meshes/left_steer_link.STL,,SteerDriveURDFSimplified-3/Encoder_steering_bracket_V10-1;SteerDriveURDFSimplified-3/right boxing sheetmetal-2;SteerDriveURDFSimplified-3/center boxing sheetmetal_v5-2;SteerDriveURDFSimplified-3/Part9_modified_2motor_v11-5-1;SteerDriveURDFSimplified-3/left boxing sheetmetal (1)-1;SteerDriveURDFSimplified-3/Motor_encasing_v6-2,steering_left,SteeringLeft,left_steer_joint,continuous,0,-0.0763524002710016,-0.142620999999998,0,0,0,left_elbow_link,0,0,-1,,,,,,,,,,,,
left_drive_link,2.17669443393353E-07,0.0485815658150146,-4.9843936285314E-05,0,0,0,0.387386297168039,0.000796364048811911,6.39761624733332E-18,-4.03881105815611E-18,0.000989327464865172,3.10095615483234E-18,0.000796364048811931,0,0,0,0,0,0,package://REV URDF 16/meshes/left_drive_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://REV URDF 16/meshes/left_drive_link.STL,,SteerDriveURDFSimplified-3/wheel_assembly_v5-1/fixfromastep_v4-1;SteerDriveURDFSimplified-3/REV-21-2823 (2).step-1;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-22;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-21;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-20;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-19;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-18;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-23;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-24;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-25;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-26;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-27;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-28;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-29;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-30;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-31;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-32;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-1;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-2;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-3;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-6;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-7;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-8;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-9;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-10;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-11;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-13;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-14;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-15;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-16;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-17;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-12;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-5;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/grouser_bent_v5-4;SteerDriveURDFSimplified-3/wheel_assembly_v5-1/rim_edge_v5-1,drive_left,DriveLeft,left_drive_joint,continuous,0,-0.173278799729241,-0.055067200000181,0,0,0,left_steer_link,0,1,0,,,,,,,,,,,,
